T(C), P(bar), X, Phase Index, Phase Region, Bulk density(kg/m3), Liquid density(kg/m3), Vapour density(kg/m3), Halite density(kg/m3), Bulk enthalpy(kJ/kg), Liquid enthalpy(kJ/kg), Vapour enthalpy(kJ/kg), Halite enthalpy(kJ/kg), Liquid Saturation, Vapour Saturation, Halite Saturation, Liquid viscosity, Vapour viscosity, Liquid salinity, Vapour salinity
100, 10, 0.032, 0, Single phase(Liquid), 980.288, 980.288, 0, 0, 410.864, 410.864, 0, 0, 1, 0, 0, 0.000310974, 0, 0.032, 0
100, 11, 0.032, 0, Single phase(Liquid), 980.332, 980.332, 0, 0, 410.942, 410.942, 0, 0, 1, 0, 0, 0.000311001, 0, 0.032, 0
100, 12, 0.032, 0, Single phase(Liquid), 980.376, 980.376, 0, 0, 411.019, 411.019, 0, 0, 1, 0, 0, 0.000311028, 0, 0.032, 0
100, 13, 0.032, 0, Single phase(Liquid), 980.42, 980.42, 0, 0, 411.096, 411.096, 0, 0, 1, 0, 0, 0.000311055, 0, 0.032, 0
100, 14, 0.032, 0, Single phase(Liquid), 980.465, 980.465, 0, 0, 411.173, 411.173, 0, 0, 1, 0, 0, 0.000311081, 0, 0.032, 0
...
100, 95, 0.032, 0, Single phase(Liquid), 984.088, 984.088, 0, 0, 417.43, 417.43, 0, 0, 1, 0, 0, 0.000313254, 0, 0.032, 0
100, 96, 0.032, 0, Single phase(Liquid), 984.133, 984.133, 0, 0, 417.508, 417.508, 0, 0, 1, 0, 0, 0.00031328, 0, 0.032, 0
100, 97, 0.032, 0, Single phase(Liquid), 984.177, 984.177, 0, 0, 417.585, 417.585, 0, 0, 1, 0, 0, 0.000313307, 0, 0.032, 0
100, 98, 0.032, 0, Single phase(Liquid), 984.222, 984.222, 0, 0, 417.662, 417.662, 0, 0, 1, 0, 0, 0.000313334, 0, 0.032, 0
100, 99, 0.032, 0, Single phase(Liquid), 984.266, 984.266, 0, 0, 417.74, 417.74, 0, 0, 1, 0, 0, 0.000313361, 0, 0.032, 0
100, 100, 0.032, 0, Single phase(Liquid), 984.311, 984.311, 0, 0, 417.817, 417.817, 0, 0, 1, 0, 0, 0.000313388, 0, 0.032, 0
